"filename", "language", "PHP", "Markdown", "JSON", "CSS", "JavaScript", "XML", "SCSS", "HTML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.en.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.es.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.fi.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.fr.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.hu.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.nl.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.pl.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.pt-BR.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.pt.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.ro.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.sk.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.zh.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\apexcharts\apexcharts.css", "CSS", 0, 0, 0, 527, 0, 0, 0, 0, 0, 5, 74, 606
